Text,Type
"A Bird came down the walk—He did not know I saw;He bit an angleworm in halvesAnd ate the fellow, raw.And then he drank a dewFrom a convenient grass,And then hopped sidewise to the wallTo let a beetle pass.He glanced with rapid eyesThat hurried all abroad—They looked like frightened beads, I thought—He stirred his velvet head —Like one in danger; cautious,I offered him a crumb,And he unrolled his feathersAnd rowed him softer homeThan oars divide the ocean,Too silver for a seam,Or butterflies, off banks of noon,Leap, plashless, as they swim.",Poetry
The fog comeson little cat feet.It sits lookingover harbor and cityon silent haunchesand then moves on.,Poetry
"Come, words, come in your every color.I’ll toss you in storm or breeze.I’ll say, say, say you,Taste you sweet as plump plums,bitter as old lemons,I’ll sniff you, words, warmas almonds or tart as apple-red,feel you greenand soft as new grass,lightweight as dandelion plumes,or thorngray as cactus,heavy as black cement,cold blue as icicles,warm as abuelita’s yellowlap.I’ll hear you, words, loud as searoar’sPurple crash, hushedas gatitos curled in sleep,as the last goldlullaby.I’ll see you long and dark as tunnels,bright as rainbows,playful as chestnutwind.I’ll watch you, words, rise and dance and spin.I’ll say, say, say youin English,in Spanish,I’ll find you.Hold you.Toss you.I’m free too.I say yo soy libre,I am freefree, free,free as confetti.",Poetry
"Mars is very cold and very dry. Scattered across the surface are many giant volcanoes. Lava covers much of the land.In Mars’ northern half, or hemisphere, is a huge raised area. It is about 2,500 miles wide. Astronomers call this the Great Tharsis Bulge.There are four mammoth volcanoes on the Great Tharsis Bulge. The largest one is Mount Olympus, or Olympus Mons.It is the biggest mountain on Mars. Some think it may be the largest mountain in the entire solar system.Mount Olympus is 15 miles high. At its peak is a 50 mile wide basin. Its base is 375 miles across. That’s nearly as big as the state of Texas!Mauna Loa, in Hawaii, is the largest volcano on earth. Yet, compared to Mount Olympus, Mauna Loa looks like a little hill. The Hawaiian volcano is only 5½ miles high. Its base, on the bottom of the Pacific Ocean, is just 124 miles wide.Each of the three other volcanoes in the Great Tharsis Bulge are over 10 miles high. They are named Arsia Mons, Pavonis Mons, and Ascraeus Mons.",Infomational Text
"Great whirling storms roar out of the oceans in many parts of the world. They are called by several names—hurricane,typhoon, and cyclone are the three most familiar ones. But no matter what they are called, they are all the same sort of storm. They are born in the same way, in tropical waters. They develop the same way, feeding on warm, moist air.And they do the same kind of damage, both ashore and at sea. Other storms may cover a bigger area or have higher winds, but none can match both the size and the fury of hurricanes. They are earth’s mightiest storms.Like all storms, they take place in the atmosphere, the envelope of air that surrounds the earth and presses on its surface. The pressure at any one place is always changing. There are days when air is sinking and the atmosphere presses harder on the surface. These are the times of high pressure. There are days when a lot of air is rising and the atmosphere does not press down as hard. These are times of low pressure. Low-pressure areas over warm oceans give birth to hurricanes.",Infomational Text
"Sometime around 1440, the spring-powered clock was invented. Instead of depending on the pull of weights for power, this type of clock used a flat metal spring wound tightly into a coil. The escapement allowed the spring to unwind by turning one gear tooth at a time. With the use of a spring, smaller, truly portable clocks could be made.The first well-known watches, made in Germany around 1510 by Peter Henlein, were so named because guards or “watchmen” carried small clocks to keep track of how long to stay at a particular duty post.Many different skills went into making a clock, and new tools and methods were constantly being invented to make ever smaller, more complicated mechanisms that worked with greater precision.Founders melted and poured metal into a mold to make clock parts.Spring makers hand-forged (heated and pounded into shape) and polished steel clock springs.Screw makers cut screws used to fasten clocks together by using a small lathe devised by a German clockmaker in 1480. Earlier, only wedges or pegs were used.Gear-tooth cutting had been done by hand until the mid-1500s, when Giannelo Torriano of Cremona, Italy, invented a machine that could cut perfect gear teeth. Brass replaced iron for clock making.Engravers, gilders, and enamellers decorated clock cases and dials. Glass -making shops made and cut glass.Woodworkers made clock cases.",Infomational Text
"Low fences, some of which are thousands of years old, divide much of England’s countryside. These fences, called hedgerows, were fist build by the Anglo-Saxons, a group of warriors from Germany and Scandinavia who arrived in England around 410 A.D. As they gained control of sections of land, they protected their property with walls made from wooden stakes and spiny plants. Dead hedgerows, as these fences were called, were eventually replaced by fences made from live bushes and trees.Recently, people building large farms and homes in the countryside have destroyed many live hedgerows. Other people are working to save the hedgerows, which are home to a variety of wildlife, including birds, butterflies, hedgehogs, and hares.",Infomational Text
"In case you forgot, you’re still in that time-and-space capsule, but you’re not a baby anymore. You’re 10 years old and able to work the controls yourself. So get going; we want to head northwest, to the very edge of the land, to the region that will be the states of Washington and Oregon. The time? We were in the 13th century; let’s try the 14th century for this visit.Life is easy for the Indians here in the Northwest near the great ocean. They are affluent (AF-flew-ent –it means “wealthy”) Americans. For them the world is bountiful: the rivers hold salmon and sturgeon; the ocean is full of seals, whales, fish, and shellfish; the woods are swarming with game animals. And there are berries and nuts and wild roots to be gathered. They are not farmers. They don’t need to farm.Those Americans go to sea in giant canoes; some are 60 feet long. (How long is your bedroom? Your schoolroom?)Using stone tools and fire, Indians of the Northwest cut down gigantic fir trees and hollow out the logs to make their boats. The trees tower 200 feet and are 10 feet across at the base. There are so many of them, so close together, with a tangle of undergrowth, that it is sometimes hard for hunters to get through the forest. Tall as these trees are, there are not as big as the redwoods that grow in a vast forest to the south (in the land that will become California).",Infomational Text
"Children in Peru can receive their book in several different, innovative ways.CEDILI-IBBY Peru is an institution that delivers books in bags to families in Lima. Each bag contains twenty books, which families can keep for a month. The books come in four different reading levels so that children really learn how to read. This project in Spanish is called El Libro Compartido en Familia and enables parents to share the joy of books with their children.In small, rural communities, books are delivered in wooden suitcases and plastic bags. These suitcases and bags contain books that the community can keep and share for the next three months. The number of books in each suitcase depends on the size of the community. There are no library buildings in these small towns, and people gather outside,in the plaza, to see books they can check out. In the coastal regions, books are sometimes delivered by donkey cart.The books are stored in the reading promoter’s home.In the ancient city of Cajamarca, reading promoters from various rural areas select and receive a large collection of books for their area. The program is called Aspaderuc. The reading promoter lends these books to his or her neighbors, and after three months, a new selection of books goes out to each area. Books in this system are for children and adults.And last but not least, Fe Y Alegria brings a collection of children’s books to rural schools. The books are brought from school to school by wagon. The children, who are excited about browsing through the books when they arrive, are turning into avid readers.",Infomational Text
"Horses move in four natural ways, called gaits or paces. They walk, trot, canter, and gallop. The walk is the slowest gait and the gallop is the fastest.When a horse walks, each hoof leaves the ground at a different time. It moves one hind leg first, and then the front leg on the same side; then the other hind leg and the other front leg. When a horse walks, its body swings gently with each stride.When a horse trots, its legs move in pairs, left front leg with right hind leg, and right front leg with left hind leg. When a horse canters, the hind legs and one front leg move together, and then the hind legs and the other foreleg move together.The gallop is like a much faster walk, where each hoof hits the ground one after another. When a horse gallops, all four of its hooves may be flying off the ground at the same time.Horses are usually described by their coat colors and by the white markings on their faces, bodies, legs, and hooves.Brown horses range in color from dark brown bays and chestnuts to golden browns, such as palominos, and lighter browns such as roans and duns.Partly colored horses are called pintos or paints. Colorless, pure-white horses—albinos—are rare. Most horses that look white are actually gray.Skewbalds have brown-and-white patches. Piebalds have black and white patches. Spotteds have dark spots on a white coat or white spots on a dark coat.",Infomational Text
"Stuart Little, the small mouse with big parents, had nothing on baby marsupials. Marsupials (“mar-SOUP-ee-ulz”) are special kinds of mammals. Even the biggest ones give birth to babies that are incredibly small. A two-hundred-pound six-foot mother kangaroo, for instance, gives birth to a baby as small as a lima bean. That’s what makes marsupials marsupials. Their babies are born so tiny that in order to survive they must live in a pouch on the mother’s tummy.The pouch is called a marsupium. (Don’t you wish you had one?)A baby marsupial lives hidden in the mother’s warm moist pouch for months. There it sucks milk from a nipple like other baby mammals. One day it’s big enough to poke its head out to see the world. The European explorers who saw,kangaroos for the first time in Australia reported they had discovered a two-headed animal—with one head on the,neck and another in the belly.North America has only one marsupial. You may have seen it: The Virginia opossum actually lives in most of the,United States, not just Virginia. South America also has marsupials. But most marsupials live in or near Australia. They,include the koala (which is not a bear), two species of wombat, the toothy black Tasmania devil, four species of black,and white spotted “native cats” (though they’re not cats at all), and many others.The most famous marsupials, however, are the kangaroos. All kangaroos hop—some of them six feet high and faster,than forty miles an hour. More than fifty different species of kangaroo hop around on the ground—from the big redkangaroo to the musky rat kangaroo.",Infomational Text
"In early times, no one knew how volcanoes formed or why they spouted red-hot molten rock. In modern times, scientists began to study volcanoes. They still don’t know all the answers, but they know much about how a volcano works.Our planet is made up of many layers of rock. The top layers of solid rock are called the crust. Deep beneath the crust is the mantle, where it is so hot that some rock melts. The melted, or molten, rock is called magma.Volcanoes are formed when magma pushes its way up through the crack in Earth’s crust. This is called a volcanic eruption. When magma pours forth on the surface, it is called lava.",Infomational Text
"Most of the owners didn’t make much money from their teams. Baseball was just a hobby for them, a way to make their illegal money look good. To save money, each team would only carry fifteen or sixteen players. The major league teams each carried about twenty-five. Average salary for each player started at roughly $125 per month back in ‘34, and went up to $500-$800 during the forties, though there were some who made much more than that, like Satchel Paige and Josh Gibson. The average major league player’s salary back then was $7,000 per month. We also got around fifty cents to a dollar per day for food allowance. Back then you could get a decent meal for about twenty-five cents to seventy-five cents.Some of the owners didn’t treat their players very well. Didn’t pay them enough or on time. That’s why we would jump from team to team. Other owners would offer us more money, and we would leave our teams and go play for them. We were some of the first unrestricted free agents.There were, however, a few owners who did know how to treat their ballplayers. Cum Posey was one of them. He always took care of his ballplayers, put them in the best hotels, and paid them well and on time. Buck Leonard said Posey never missed a payday in the seventeen years he played for the Grays.",Infomational Text
"A hungry falcon soars high above Earth. Its sharp eyes scan the ground. Suddenly, it spies something moving in the grass. The falcon dives toward it.Far below, a gray field mouse scurries through the grass. Its dark, beady eyes search constantly for danger. With eyes on either side of its head, the mouse can see almost everything around it.Will the mouse see the falcon in time to escape? Or, will the speedy falcon catch the prey it spied from far above?Whatever happens, one thing is clear: Without eyes, neither animal has a good chance.Why? Eyes help many animals make sense of the world around them - and survive. Eyes can guide the falcon to dinner or help the mouse see a perfect place to hide.Animal eyes come in many different shapes, sizes, colors, and even numbers. Yet they do the same job. They all catch light. With help from the brain, eyes turn light into sight.Eyes work in the same way for people. Look at this page. You may think you see words and pictures. Believe it or not, you don’t. All you see is light bouncing off the page. How is this possible? The secret is in the rules of light.Light is a form of energy, like heat or sound. It can come from a natural source, like the sun, or artificial sources, like a lamp or a flashlight.Light is the fastest known thing. It travels in waves and in nearly straight lines. In air, it can speed 299,700 kilometers (186,200 miles) per second. It can race from the sun to Earth in just over eight minutes! Light doesn’t always travel so fast. For example, water or glass can slow light down, but just a bit.Light may seem to break all driving speed laws. Yet there are certain rules it always follows. Light reflects, or bounces off objects. It also refracts, or bends. And it can be absorbed, or soaked up, by objects. These rules of light affect what, and how, we see.Imagine this scene: You’re at your desk happily reading Explorer magazine. Light from your desk lamp scatters in all directions.Light hits the page. Some bounces off the page, or reflects. It changes direction. It’s a little like how sound bounces off a wall. Now some of this reflected light is traveling right toward your face. Don’t duck! For you to see Explorer, some of this light has to enter your eyes. Objects become visible when light bounces off them.Your eyes are light catchers. Yet it takes more than catching light to see an image. Your eyes also have to bend light.Here’s how.First, light hits your cornea. That’s the clear covering on the front of your eyeball. The cornea refracts, or bends, light.Is your cornea super strong? No! Think about how light travels more slowly through water. The same thing happens in your cornea. As light passes through the cornea, it slows down. That makes the light change direction, or bend.Next, light enters your pupil, the dark center part of your eye. It passes through your lens. The lens bends light, too.What’s the big deal about bending light? That’s how your eyes focus, or aim the light to make a clear image.The image appears on your retina at the back of your eyeball. It’s like a movie. Playing Today at a Theater in Your Eye: Explorer magazine! There’s only one problem. The image is upside down. Luckily, your brain flips the image right side up. That’s pretty smart!",Infomational Text
"You can see planets, stars, and other objects in space just by looking up on a clear night. But to really see them--to observe the craters on the moon, the rings around Saturn, and the countless other wonders in our sky--you must use a telescope.A telescope is an instrument used to produce magnified (enlarged) images of distant objects. It does this by gathering and focusing the light or other forms of electromagnetic radiation emitted or reflected by those objects. The word “telescope” comes from two Greek words meaning “far” and “see.”There are many different types of telescopes, both optical and non-optical. Optical telescopes are designed to focus visible light. Non-optical telescopes are designed to detect kinds of electromagnetic radiation that are invisible to the human eye. These include radio waves, infrared radiation, X rays, ultraviolet radiation, and gamma rays. The word “optical” means “making use of light.”Some telescopes are launched into space. These telescopes gain clearer views. And they can collect forms of electromagnetic radiation that are absorbed by the Earth’s atmosphere and do not reach the ground.Different types of optical telescopes gather and focus light in different ways. Refracting telescopes, or refractors, use lenses. Reflecting telescopes, or reflectors, use mirrors. And catadioptric telescopes, or catadioptrics, use a combination of lenses and mirrors. The main lens or mirror in an optical telescope is called the objective.Refracting Telescopes. A refracting telescope is typically a long, tube-shaped instrument. The objective is a system of lenses at the front end of the tube (the end facing the sky). When light strikes the lenses, it is bent and brought to a focus within the tube. This forms an image of a distant object. This image can be magnified by the eyepiece. This consists of a group of small lenses at the back of the tube. A camera can replace or be added to the eyepiece. Then photographs can be taken of celestial objects. For many years, these cameras used film. Today most are equipped with charge-coupled devices (CCD’s). These devices use semiconductor chips to electronically capture images. CCD’s are similar to the devices in home digital cameras and video camcorders. However, the CCD’s used by astronomers are usually extremely sensitive to light. ",Infomational Text
"“Merry Christmas, little daughters! I’m glad you began at once, and hope you will keep on. But I want to say one word before we sit down. Not far away from here lies a poor woman with a little newborn baby. Six children are huddled into one bed to keep from freezing, for they have no fire. There is nothing to eat over there, and the oldest boy came to tell me they were suffering hunger and cold. My girls, will you give them your breakfast as a Christmas present?”They were all unusually hungry, having waited nearly an hour, and for a minute no one spoke, only a minute, for Jo exclaimed impetuously, “I’m so glad you came before we began!”“May I go and help carry the things to the poor little children?” asked Beth eagerly.“I shall take the cream and the muffins,” added Amy, heroically giving up the article she most liked.Meg was already covering the buckwheats, and piling the bread into one big plate.“I thought you’d do it,” said Mrs. March, smiling as if satisfied. “You shall all go and help me, and when we come back we will have bread and milk for breakfast, and make it up at dinnertime.”They were soon ready, and the procession set out. Fortunately it was early, and they went through back streets, so few people saw them, and no one laughed at the queer party.A poor, bare, miserable room it was, with broken windows, no fire, ragged bedclothes, a sick mother, wailing baby, and a group of pale, hungry children cuddled under one old quilt, trying to keep warm.How the big eyes stared and the blue lips smiled as the girls went in.“Ach, mein Gott! It is good angels come to us!” said the poor woman, crying for joy.“Funny angels in hoods and mittens,” said Jo, and set them to laughing.In a few minutes it really did seem as if kind spirits had been at work there. Hannah, who had carried wood, made a fire, and stopped up the broken panes with old hats and her own cloak. Mrs. March gave the mother tea and gruel, and comforted her with promises of help, while she dressed the little baby as tenderly as if it had been her own. The girls meantime spread the table, set the children round the fire, and fed them like so many hungry birds, laughing, talking, and trying to understand the funny broken English.“Das ist gut!” “Die Engel-kinder!” cried the poor things as they ate and warmed their purple hands at the comfortable blaze. The girls had never been called angel children before, and thought it very agreeable, especially Jo, who had been considered a ‘Sancho’ ever since she was born. That was a very happy breakfast, though they didn’t get any of it. And when they went away, leaving comfort behind, I think there were not in all the city four merrier people than the hungry little girls who gave away their breakfasts and contented themselves with bread and milk on Christmas morning.“That’s loving our neighbor better than ourselves, and I like it,” said Meg, as they set out their presents while their mother was upstairs collecting clothes for the poor Hummels.",Story
"But Tom’s energy did not last. He began to think of the fun he had planned for this day, and his sorrows multiplied.Soon the free boys would come tripping along on all sorts of delicious expeditions, and they would make a world of fun of him for having to work—the very thought of it burnt him like fire. He got out his worldly wealth and examined it—bits of toys, marbles, and trash; enough to buy an exchange of WORK, maybe, but not half enough to buy so much as half an hour of pure freedom. So he returned his straitened means to his pocket, and gave up the idea of trying to buy the boys. At this dark and hopeless moment an inspiration burst upon him! Nothing less than a great, magnificent inspiration.He took up his brush and went tranquilly to work. Ben Rogers hove in sight presently—the very boy, of all boys, whose ridicule he had been dreading. Ben’s gait was the hop-skip-and-jump—proof enough that his heart was light and his anticipations high. He was eating an apple, and giving a long, melodious whoop, at intervals, followed by a deeptoned ding-dong-dong, ding-dong-dong, for he was personating a steamboat. As he drew near, he slackened speed, took the middle of the street, leaned far over to starboard and rounded to ponderously and with laborious pomp and circumstance—for he was personating the Big Missouri, and considered himself to be drawing nine feet of water. He was boat and captain and engine-bells combined, so he had to imagine himself standing on his own hurricane-deckgiving the orders and executing them: “Stop her, sir! Ting-a-ling-ling!” The headway ran almost out, and he drew up slowly toward the sidewalk.“Ship up to back! Ting-a-ling-ling!” His arms straightened and stiffened down his sides.“Set her back on the stabboard! Ting-a-ling-ling! Chow! ch-chow-wow! Chow!” His right hand, meantime, describing stately circles—for it was representing a forty-foot wheel.“Let her go back on the labboard! Ting-a-lingling! Chow-ch-chow-chow!” The left hand began to describe circles.“Stop the stabboard! Ting-a-ling-ling! Stop the labboard! Come ahead on the stabboard! Stop her! Let your outside turn over slow! Ting-a-ling-ling! Chow-ow-ow! Get out that head-line! LIVELY now! Come—out with your spring-line—what’re you about there! Take a turn round that stump with the bight of it! Stand by that stage, now—let her go! Done with the engines, sir! Ting-a-ling-ling! SH’T! S’H’T! SH’T!” (trying the gauge-cocks).”Tom went on whitewashing—paid no attention to the steamboat. Ben stared a moment and then said: “Hi-YI! YOU’RE up a stump, ain’t you!”No answer. Tom surveyed his last touch with the eye of an artist, then he gave his brush another gentle sweep and surveyed the result, as before. Ben ranged up alongside of him. Tom’s mouth watered for the apple, but he stuck to his work. Ben said: “Hello, old chap, you got to work, hey?”Tom wheeled suddenly and said: “Why, it’s you, Ben! I warn’t noticing.”“Say—I’m going in a-swimming, I am. Don’t you wish you could? But of course you’d druther WORK—wouldn’t you? Course you would!”Tom contemplated the boy a bit, and said: “What do you call work?”“Why, ain’t THAT work?”Tom resumed his whitewashing, and answered carelessly: “Well, maybe it is, and maybe it ain’t. All I know, is, it suits Tom Sawyer.”“Oh come, now, you don’t mean to let on that you LIKE it?”The brush continued to move.“Like it? Well, I don’t see why I oughtn’t to like it. Does a boy get a chance to whitewash a fence every day?”That put the thing in a new light. Ben stopped nibbling his apple. Tom swept his brush daintily back and forth— stepped back to note the effect—added a touch here and there—criticised the effect again—Ben watching every move and getting more and more interested, more and more absorbed. Presently he said: “Say, Tom, let ME whitewash a little.”Tom considered, was about to consent; but he altered his mind:“No—no—I reckon it wouldn’t hardly do, Ben. You see, Aunt Polly’s awful particular about this fence—right here on the street, you know—but if it was the back fence I wouldn’t mind and SHE wouldn’t. Yes, she’s awful particular about thisfence; it’s got to be done very careful; I reckon there ain’t one boy in a thousand, maybe two thousand, that can do it the way it’s got to be done.”“No—is that so? Oh come, now—lemme just try. Only just a little—I’d let YOU, if you was me, Tom.”“Ben, I’d like to, honest injun; but Aunt Polly—well, Jim wanted to do it, but she wouldn’t let him; Sid wanted to do it, and she wouldn’t let Sid. Now don’t you see how I’m fixed? If you was to tackle this fence and anything was to happen to it—”“Oh, shucks, I’ll be just as careful. Now lemme try. Say—I’ll give you the core of my apple.”“Well, here—No, Ben, now don’t. I’m afeard—”“I’ll give you ALL of it!”Tom gave up the brush with reluctance in his face, but alacrity in his heart. And while the late steamer Big Missouri worked and sweated in the sun, the retired artist sat on a barrel in the shade close by, dangled his legs, munched his apple, and planned the slaughter of more innocents. There was no lack of material; boys happened along every little while; they came to jeer, but remained to whitewash. By the time Ben was fagged out, Tom had traded the next chance to Billy Fisher for a kite, in good repair; and when he played out, Johnny Miller bought in for a dead rat and a string to swing it with—and so on, and so on, hour after hour. And when the middle of the afternoon came, from being a poor poverty-stricken boy in the morning, Tom was literally rolling in wealth. He had besides the things before mentioned, twelve marbles, part of a jews-harp, a piece of blue bottle-glass to look through, a spool cannon, a keythat wouldn’t unlock anything, a fragment of chalk, a glass stopper of a decanter, a tin soldier, a couple of tadpoles, six fire-crackers, a kitten with only one eye, a brass doorknob, a dog-collar—but no dog—the handle of a knife, four pieces of orange-peel, and a dilapidated old window sash.He had had a nice, good, idle time all the while—plenty of company—and the fence had three coats of whitewash on it! If he hadn’t run out of whitewash he would have bankrupted every boy in the village.Tom said to himself that it was not such a hollow world, after all. He had discovered a great law of human action, without knowing it—namely, that in order to make a man or a boy covet a thing, it is only necessary to make the thing difficult to attain. If he had been a great and wise philosopher, like the writer of this book, he would now have comprehended that Work consists of whatever a body is OBLIGED to do, and that Play consists of whatever a body is not obliged to do. And this would help him to understand why constructing artificial flowers or performing on a tread-mill is work, while rolling ten-pins or climbing Mont Blanc is only amusement. There are wealthy gentlemen in England who drive four-horse passenger-coaches twenty or thirty miles on a daily line, in the summer, because the privilegecosts them considerable money; but if they were offered wages for the service, that would turn it into work and then they would resign.The boy mused awhile over the substantial change which had taken place in his worldly circumstances, and then wended toward headquarters to report.",Story
"He was woken by music. It beckoned him, lilting and insistent; delicate music, played by delicate instruments that he could not identify, with one rippling, bell-like phrase running through it in a gold thread of delight. There was in this music so much of the deepest enchantment of all his dreams and imaginings that he woke smiling in pure happiness at the sound. In the moment of his waking, it began to fade, beckoning as it went, and then as he opened his eyes it was gone. He had only the memory of that one rippling phrase still echoing in his head, and itself fading so fast that he sat up abruptly in bed and reached his arm out to the air, as if he could bring it back.The room was very still, and there was no music, and yet Will knew that it had not been a dream.He was in the twins’ room still; he could hear Robin’s breathing, slow and deep, from the other bed. Cold light glimmered round the edge of the curtains, but no one was stirring anywhere; it was very early. Will pulled on his rumpled clothes from the day before, and slipped out of the room. He crossed the landing to the central window, and looked down.In the first shining moment he saw the whole strange-familial world, glistening white; the roofs of the outbuildings mounded into square towers of snow, and beyond them all the fields and hedge: buried, merged into one great flat expanse, unbroken white to the horizon’s brim. Will drew in a long, happy breath, silently rejoicing. Then, very faintly, he heard the music again, the same phrase. He swung round vainly searching for it in the air, as if he might see it somewhere like a flickering light.“Where are you?”",Story
"By the time the winter rains came to the city, we were not becoming rich, but we were doing well. Each day we put a little money away in our cold tin can. Father never said anything, but I knew he was thinking about the day when we might be able to afford to bring Mother over. You see, it was not simply a matter of paying her passage over on the boat. Father would probably have to go over after her and escort her across. There had to be money for bribes—tea money, Uncle called it—at both ends of the ocean. Now that we no longer belonged to the Company, we somehow had to acquire a thousand dollars worth of property, a faraway figure when you can only save nickels and dimes.And yet the hope that we could start our own little fix-it shop and qualify as merchants steadily grew with the collection of coins in the tin can. I was happy most of the time, even when it became the time for the New Year by the Tang people’s reckoning. We took the old picture of the Stove King and smeared some honey on it before we burned it in the stove. Later that evening we would hang up a new picture of the Stove King that we had bought in the Tang people’s town. That was a sign the Stove King had returned to his place above our stove. After we had finished burning the old picture, we sat down to a lunch of meat pastries and dumplings.",Story
"“You were born blessed, boy, with land of your own. If you hadn’t been, you’d cry out for it while you try to survive… like Mr. Lanier and Mr. Avery. Maybe even do what they doing now. It’s hard on a man to give up, but sometimes it seems there just ain’t nothing else he can do.”“I… I’m sorry, Papa,” Stacey muttered.After a moment, Papa reached out and draped his arm over Stacey’s shoulder.“Papa,” I said, standing to join them, “we giving up too?”Papa looked down at me and brought me closer, then waved his hand toward the drive. “You see that fig tree over yonder, Cassie? Them other trees all around… that oak and walnut, they’re a lot bigger and they take up more room and give so much shade they almost overshadow that little ole fig. But that fig tree’s got roots that run deep, and it belongs in that yard as much as that oak and walnut. It keeps blooming, bearing fruit year after year, knowing all the time it’ll never get as big as them other trees. Just keeps on growing and doing what it gotta do. It don’t give up. It give up, it’ll die. There’s a lesson to be learned from that little tree, Cassie girl, ‘cause we’re like it. We keep doing what we gotta do, and we don’t give up. We can’t.”",Story
"They say the people could fly. Say that long ago in Africa, some of the people knew magic. And they would walk up on the air like climbin up on a gate. And they flew like blackbirds over the fields. Black, shiny wings flappin against the blue up there.Then, many of the people were captured for Slavery. The ones that could fly shed their wings. They couldn’t take their wings across the water on slave ships. Too crowded, don’t you know.The folks were full of misery, then. Got sick with the up and down of the sea. So they forgot about flyin when they could no longer breathe the sweet scent of Africa.Say the people who could fly kept their power, although they shed their wings. They looked the same as the other people from Africa who had been coming over, who had dark skin. Say you couldn’t tell anymore one who could fly from one who couldn’t. One such who could was an old man, call him Toby. And standin tall, yet afraid, was a young woman who once had wings. Call her Sarah. Now Sarah carried a babe tied to her back. She trembled to be so hard worked and scorned.The slaves labored in the fields from sunup to sundown. The owner of the slaves callin himself their Master. Say he was a hard lump of clay. A hard, glinty coal. A hard rock pile, wouldn’t be moved. His Overseer on horseback pointed out the slaves who were slowin down. So the one called Driver cracked his whip over the slow ones to make them move faster. That whip was a slice-open cut of pain. So they did move faster. Had to.",Story
"Long ago and far away in the Land of the Rising Sun, there lived together a pair of mandarin ducks. Now, the drake was a magnificent bird with plumage of colors so rich that the emperor himself would have envied it. But his mate, the duck, wore the quiet tones of the wood, blending exactly with the hole in the tree where the two had made their nest.One day while the duck was sitting on her eggs, the drake flew down to a nearby pond to search for food. While he was there, a hunting party entered the woods. The hunters were led by the lord of the district, a proud and cruel man who believed that everything in the district belonged to him to do with as he chose. The lord was always looking for beautiful things to adorn his manor house and garden. And when he saw the drake swimming gracefully on the surface of the pond, he determined to capture him.The lord’s chief steward, a man named Shozo, tried to discourage his master. “The drake is a wild spirit, my lord,” he said. “Surely he will die in captivity.” But the lord pretended not to hear Shozo. Secretly he despised Shozo, because although Shozo had once been his mightiest samurai, the warrior had lost an eye in battle and was no longer handsome to look upon.The lord ordered his servants to clear a narrow way through the undergrowth and place acorns along the path. When the drake came out of the water he saw the acorns. How pleased he was! He forgot to be cautious, thinking only of what a feast they would be to take home to his mate.Just as he was bending to pick up an acorn in his scarlet beak, a net fell over him, and the frightened bird was carried back to the lord’s manor and placed in a small bamboo cage.",Story
"What they don’t understand about birthdays and what they never tell you is that when you’re eleven, you’re also ten, and nine, and eight, and seven, and six, and five, and four, and three, and two, and one. And when you wake up on your eleventh birthday you expect to feel eleven, but you don’t. You open your eyes and everything’s just like yesterday, only it’s today. And you don’t feel eleven at all. You feel like you’re still ten. And you are — underneath the year that makes you eleven.Like some days you might say something stupid, and that’s the part of you that’s still ten. Or maybe some days you might need to sit on your mama’s lap because you’re scared, and that’s the part of you that’s five.And maybe one day when you’re all grown up maybe you will need to cry like if you’re three, and that’s okay. That’s what I tell Mama when she’s sad and needs to cry. Maybe she’s feeling three.Because the way you grow old is kind of like an onion or like the rings inside a tree trunk or like my little wooden dolls that fit one inside the other, each year inside the next one. That’s how being eleven years old is.You don’t feel eleven. Not right away. It takes a few days, weeks even, sometimes even months before you say Eleven when they ask you. And you don’t feel smart eleven, not until you’re almost twelve. That’s the way it is.",Story
"In the high and far-off days when men were heroes and walked with the gods, Peleus, king of the Myrmidons, took for his wife a sea nymph called Thetis, Thetis of the Silver Feet. Many guests came to their wedding feast, and among the mortal guests came all the gods of high Olympus.But as they sat feasting, one who had not been invited was suddenly in their midst: Eris, the goddess of discord, had been left out because wherever she went she took trouble with her; yet here she was, all the same, and in her blackest mood, to avenge the insult.All she did—it seemed a small thing—was to toss down on the table a golden apple. Then she breathed upon the guests once, and vanished.The apple lay gleaming among the piled fruits and the brimming wine cups; and bending close to look at it, everyone could see the words “To the fairest” traced on its side.Then the three greatest of the goddesses each claimed that it was hers. Hera claimed it as wife to Zeus, the All-father, and queen of all the gods. Athene claimed that she had the better right, for the beauty of wisdom such as hers surpassed all else. Aphrodite only smiled, and asked who had a better claim to beauty’s prize than the goddess of beauty herself.They fell to arguing among themselves; the argument became a quarrel, and the quarrel grew more and more bitter, and each called upon the assembled guests to judge between them. But the other guests refused, for they knew well enough that, whichever goddess they chose to receive the golden apple, they would make enemies of the other two.",Story
